start_iso,chat_id,text,images_count,duration_sec
2026-08-14T15:26:15.030197,voice-3131959661760,こんにちはテストです,0,0.001
2026-08-14T15:29:52.239090,voice-2800420508576,こんにちはテストです,0,0.0
2026-08-14T16:19:39.630780,voice-2156121048176,こんにちは、調子はどうですか,0,60.079
2026-08-14T16:20:52.549484,voice-2156121048176,今日の天気を教えて,0,41.42
2026-08-14T16:22:06.623878,voice-2156121048176,この画像に何が写っていますか?,1,37.968
2026-08-14T16:23:04.032866,voice-2156121048176,ありがとう、助かりました,0,47.475
2026-08-14T16:24:02.839655,voice-2156121048176,もう一度、同じ画像で何が見えるか説明して,1,36.009
2026-08-14T16:25:05.533491,voice-2156121048176,テストは以上です、ありがとうございました,0,47.659
2026-08-14T17:23:32.020267,voice-2156121453344,今日 は 何 月 何 日 です か,0,15.442
2026-08-14T17:24:04.096458,voice-2156121453344,本日の東京の天気を教えてください,0,16.564
2026-08-14T17:24:46.910843,voice-2156121453344,こんにちは,0,9.195
2026-08-14T17:25:22.436202,voice-2156121456272,こんにちは,0,9.194
2026-08-14T17:25:50.112925,voice-2156121456272,今日 は 筋 トレ し ます,0,19.785
2026-08-15T00:28:40.578929,voice-2773494090496,筋トレの記録です。この手書きのものをデジタル化にして表にまとめてください,1,69.199
2026-08-15T00:30:07.003756,voice-2773494090496,筋トレの記録です。この手書きのものをデジタル化にして表にまとめてください,1,66.197
2026-08-15T00:34:34.882115,voice-2774495598528,こんにちは,0,45.279
2026-08-15T00:35:22.688302,voice-2774495598528,こんにちは,0,32.201
2026-08-15T00:40:17.162732,voice-1601295538880,こんにちはテストです,0,0.0
2026-08-15T00:41:44.709392,voice-2237042139760,こんにちはテストです,0,0.0
2026-08-15T00:43:41.891734,voice-2374139699728,こんにちはテストです,0,0.001
2026-08-15T00:44:52.791479,voice-2068962994720,こんにちはテストです,0,0.001
2026-08-15T00:59:17.814865,voice-1474326150800,手書きメモをデジタル化して表にまとめてください,1,47.536
2026-08-15T01:57:56.001356,voice-1938323029360,このファイルの内容を150文字以内にまとめてください,0,54.356
2026-08-15T01:59:35.312734,voice-1938323029360,卒論_覚張豪_RGB-D画像情報に基づくリアルタイムスロープ検知.docxの内容を200文字以内でまとめて,0,32.745
2026-08-15T02:01:19.120353,voice-1938323029360,このファイルの内容を150文字以内にまとめてください,0,36.975
2026-08-15T02:03:06.476300,voice-1938323029360,この手書きのものをデジタル化して表にまとめてください,1,51.99
2026-08-15T02:14:59.266618,voice-2738741968240,このファイルの内容を150文字以内でようやく,0,52.753
2026-08-15T02:16:28.521768,voice-2738741968240,この手書きメモをデジタル化して表にまとめてください,1,47.055
2026-08-15T02:18:34.187904,voice-2299594315040,こんにちはテストです,0,0.0
2026-08-15T02:19:31.612312,voice-2000321657936,こんにちはテストです,0,0.0
2026-08-15T02:23:56.624958,voice-2739341365888,このファイルを200文字以内で要約して,0,49.193
2026-08-15T09:26:11.255259,voice-1884075769344,こんにちはテストです,0,0.0
2026-08-15T09:33:29.875461,voice-2690958433968,こんにちはテストです,0,0.0
2026-08-15T09:35:50.125376,voice-1474456081408,こんにちはテストです,0,0.0
2026-08-15T09:36:53.326569,voice-2221129230976,こんにちはテストです,0,0.001
2026-08-15T09:39:58.584341,voice-2154288721952,こんにちはテストです,0,0.001
2026-08-15T10:54:03.940174,voice-2520153827728,こんにちはテストです,0,0.001
2026-08-15T11:00:21.831226,voice-2955696167712,こんにちはテストです,0,0.0
2026-08-15T11:04:43.403766,voice-1393871621344,こんにちはテストです,0,0.001
2026-08-15T11:15:25.237525,voice-2840890642592,こんにちはテストです,0,0.001
2026-08-15T11:26:59.114644,voice-1516551803760,こんにちはテストです,0,0.001
2026-08-15T11:37:04.565983,voice-2010885592880,今日 の 天気 を 教え て くれ,0,53.773
2026-08-15T11:57:46.303442,voice-2589901855520,本日の東京の天気を教えてください,0,74.662
2026-08-15T12:17:57.686875,voice-2589901855520,東京の天気を調べろ,0,60.239
2026-08-15T12:24:50.704021,voice-2864748059664,こんにちはテストです,0,0.0
2026-08-15T12:29:10.231857,voice-2489683028560,こんにちはテストです,0,0.001
2026-08-15T12:30:36.938549,voice-2289230311168,本日の東京の天気を教えてください,0,68.703
